curso,turno,qualificacao_previa,nacionalidade,necessidades_especiais,mensalidade_em_dia,sexo,bolsista,aprovacoes,aproveitamentos,matriculas,media,indice_deseprego,indice_inflacao,PIB,STATUS
8,1,1,14,0,1,0,0,10,0,10,32.0,12.7,3.7,-1.7,1
7,1,14,1,0,0,1,0,4,4,13,32.0,8.9,1.4,3.51,0
5,1,3,1,0,1,0,0,3,0,6,32.0,7.6,2.6,0.32,0
13,1,1,1,0,1,0,0,15,0,15,31.9555555555556,12.7,3.7,-1.7,1
16,1,1,1,0,0,0,0,11,0,12,31.9333333333333,12.7,3.7,-1.7,0
6,1,1,1,0,1,0,1,12,0,12,31.9038461538462,15.5,2.8,-4.06,1
12,1,3,1,0,1,0,0,14,0,16,31.8857142857143,12.7,3.7,-1.7,1
6,1,1,1,0,1,0,1,12,0,12,31.8571428571429,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,15,0,15,31.85625,11.1,0.6,2.02,1
15,1,1,1,0,1,1,0,12,0,12,31.7857142857143,10.8,1.4,1.74,1
12,1,1,1,0,1,1,0,14,0,16,31.7714285714286,10.8,1.4,1.74,1
9,1,1,1,0,1,0,1,10,0,10,31.7333333333333,15.5,2.8,-4.06,1
15,1,1,1,0,1,1,1,12,0,12,31.7142857142857,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,1,15,2,15,31.6536507936508,11.1,0.6,2.02,1
4,1,1,1,0,1,1,0,12,0,12,31.6142857142857,15.5,2.8,-4.06,0
12,1,1,1,0,1,0,1,14,0,16,31.5971428571429,10.8,1.4,1.74,1
16,1,1,1,0,1,1,0,5,0,6,31.5,13.9,-0.3,0.79,1
11,1,1,1,0,1,0,0,12,0,12,31.5,12.4,0.5,1.79,1
6,1,1,1,0,1,0,0,12,0,12,31.4285714285714,11.1,0.6,2.02,1
6,1,1,5,0,1,0,1,10,0,10,31.4,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,14,0,16,31.4,12.7,3.7,-1.7,1
12,1,3,1,0,1,0,0,14,0,16,31.3514285714286,10.8,1.4,1.74,1
4,1,14,1,0,1,0,0,12,0,12,31.3333333333333,15.5,2.8,-4.06,1
8,1,1,1,0,1,1,0,4,0,10,31.3333333333333,10.8,1.4,1.74,0
10,1,1,1,0,1,0,1,12,0,12,31.3333333333333,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,14,0,16,31.3142857142857,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,1,15,0,15,31.2855555555556,15.5,2.8,-4.06,1
12,1,1,1,0,1,1,1,16,0,16,31.2675,9.4,-0.8,-3.12,1
6,1,16,1,0,1,0,0,20,11,20,31.2478632478632,8.9,1.4,3.51,1
3,0,14,1,0,1,0,0,12,5,12,31.2142857142857,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,1,15,0,15,31.1951785714286,11.1,0.6,2.02,1
5,1,1,1,0,1,0,1,12,0,12,31.1666666666667,11.1,0.6,2.02,1
5,1,1,1,0,1,0,0,12,0,12,31.1666666666667,12.7,3.7,-1.7,1
4,1,1,1,0,1,1,0,12,0,12,31.1666666666667,12.4,0.5,1.79,1
14,1,1,1,0,1,0,0,12,0,12,31.1666666666667,13.9,-0.3,0.79,1
12,1,1,1,0,1,1,1,15,0,15,31.1460317460317,16.2,0.3,-0.92,1
12,1,1,1,0,1,1,0,14,0,16,31.14,10.8,1.4,1.74,0
17,0,17,1,0,1,0,0,11,2,11,31.1333333333333,11.1,0.6,2.02,1
12,1,1,1,0,1,0,0,15,0,15,31.1017857142857,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,15,0,15,31.0558441558442,16.2,0.3,-0.92,1
8,1,1,1,0,1,0,0,10,0,10,31.0,12.7,3.7,-1.7,1
7,1,1,1,0,1,1,0,3,0,10,31.0,9.4,-0.8,-3.12,0
5,1,1,1,0,1,1,1,8,0,12,31.0,15.5,2.8,-4.06,1
8,1,1,1,0,1,1,0,10,0,10,31.0,12.7,3.7,-1.7,0
6,1,1,1,0,1,1,1,10,0,12,31.0,11.1,0.6,2.02,0
10,1,1,1,0,1,0,1,12,0,12,30.9761904761905,12.7,3.7,-1.7,1
6,1,1,1,0,1,0,1,12,0,12,30.952380952381,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,12,0,14,30.8666666666667,7.6,2.6,0.32,1
11,1,1,1,0,1,0,0,12,0,12,30.8333333333333,11.1,0.6,2.02,1
6,1,15,1,0,1,0,0,12,0,12,30.8095238095238,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,12,0,14,30.8,7.6,2.6,0.32,1
6,1,1,1,0,1,0,0,12,0,12,30.7857142857143,8.9,1.4,3.51,1
4,1,1,1,0,1,0,0,31,24,31,30.7521367521368,15.5,2.8,-4.06,1
6,1,1,1,0,1,0,0,10,0,10,30.7333333333333,9.4,-0.8,-3.12,0
16,1,1,1,0,1,0,0,14,0,14,30.7142857142857,11.1,0.6,2.02,1
7,1,4,1,0,1,1,0,7,0,10,30.7,13.9,-0.3,0.79,1
12,1,1,1,0,1,1,0,16,7,17,30.6711111111111,11.1,0.6,2.02,1
5,1,1,1,0,1,0,0,8,0,12,30.6666666666667,15.5,2.8,-4.06,1
12,1,1,1,0,1,0,1,15,0,15,30.65,13.9,-0.3,0.79,1
9,1,1,1,0,1,0,0,10,0,10,30.6,8.9,1.4,3.51,1
17,0,15,1,0,1,0,0,10,0,10,30.6,8.9,1.4,3.51,1
12,1,1,1,0,1,1,1,16,0,16,30.6,9.4,-0.8,-3.12,1
14,1,1,1,0,1,0,0,12,0,12,30.547619047619,12.4,0.5,1.79,1
8,1,1,1,0,1,0,0,10,0,10,30.5142857142857,7.6,2.6,0.32,1
11,1,1,1,0,1,1,0,20,12,20,30.5050505050505,10.8,1.4,1.74,1
15,1,1,1,0,1,0,1,12,0,12,30.5,8.9,1.4,3.51,1
6,1,1,6,0,1,0,0,12,0,12,30.5,15.5,2.8,-4.06,1
6,1,1,1,0,1,0,0,12,0,12,30.5,8.9,1.4,3.51,1
12,1,1,1,0,1,0,0,12,0,14,30.5,7.6,2.6,0.32,1
12,1,1,1,0,1,0,1,15,0,15,30.4625,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,1,15,0,15,30.4611111111111,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,1,14,0,16,30.4571428571429,12.7,3.7,-1.7,1
6,1,1,1,0,1,0,0,10,0,10,30.452380952381,9.4,-0.8,-3.12,1
4,1,14,1,0,1,1,0,12,0,12,30.452380952381,12.4,0.5,1.79,1
12,1,1,1,0,1,0,1,15,0,15,30.4232142857143,12.4,0.5,1.79,1
17,0,1,1,0,1,1,0,10,0,10,30.4,11.1,0.6,2.02,1
12,1,1,1,0,1,0,0,12,0,14,30.4,7.6,2.6,0.32,1
6,1,1,1,0,1,0,0,12,0,12,30.3809523809524,13.9,-0.3,0.79,0
7,1,1,1,0,1,1,0,10,0,10,30.3714285714286,11.1,0.6,2.02,0
15,1,1,1,0,1,0,0,12,0,12,30.3333333333333,12.4,0.5,1.79,1
2,1,1,1,0,1,0,0,23,10,23,30.3333333333333,8.9,1.4,3.51,1
15,1,1,1,0,0,1,0,11,0,12,30.3,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,15,0,15,30.287619047619,11.1,0.6,2.02,1
6,1,1,1,0,1,0,1,12,0,12,30.2857142857143,11.1,0.6,2.02,1
8,1,1,1,0,1,0,0,12,0,12,30.2857142857143,11.1,0.6,2.02,1
2,1,1,14,0,0,0,0,23,10,23,30.25,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,14,0,16,30.2285714285714,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,0,14,0,16,30.22,10.8,1.4,1.74,1
9,1,1,1,0,1,0,1,10,0,10,30.2,12.7,3.7,-1.7,1
15,1,1,1,0,1,0,0,12,0,12,30.1666666666667,12.7,3.7,-1.7,1
6,1,1,1,0,1,0,0,12,0,12,30.1666666666667,15.5,2.8,-4.06,1
8,1,1,1,0,1,0,0,11,0,12,30.1666666666667,13.9,-0.3,0.79,0
12,1,1,1,0,1,0,0,14,0,16,30.1514285714286,10.8,1.4,1.74,1
12,1,1,1,0,1,1,1,14,0,16,30.14,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,15,0,15,30.1238095238095,12.4,0.5,1.79,1
6,1,1,1,0,1,0,0,11,0,12,30.1208791208791,15.5,2.8,-4.06,1
12,1,1,1,0,1,0,0,43,34,43,30.1013071895425,15.5,2.8,-4.06,1
4,1,1,1,0,0,1,0,21,10,21,30.0909090909091,11.1,0.6,2.02,0
12,1,1,1,0,1,1,0,14,0,16,30.0571428571429,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,0,15,0,15,30.05,13.9,-0.3,0.79,0
3,0,1,1,0,1,0,0,16,8,16,30.031746031746,12.7,3.7,-1.7,1
6,1,15,1,0,1,0,0,10,0,12,30.0285714285714,11.1,0.6,2.02,1
12,1,3,1,0,1,1,0,15,0,15,30.0253968253968,16.2,0.3,-0.92,0
15,1,1,1,0,1,0,0,12,0,12,30.0238095238095,7.6,2.6,0.32,1
8,1,1,14,0,1,0,0,10,0,10,30.0,9.4,-0.8,-3.12,1
17,0,3,1,0,1,0,0,10,0,10,30.0,12.7,3.7,-1.7,0
15,1,1,1,0,1,1,0,12,0,12,30.0,9.4,-0.8,-3.12,1
16,1,1,1,0,1,0,1,14,0,14,30.0,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,14,0,16,30.0,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,0,14,0,16,29.9857142857143,10.8,1.4,1.74,1
12,1,1,1,0,1,0,1,15,0,15,29.9796825396825,11.1,0.6,2.02,1
10,1,1,1,0,1,0,0,12,0,12,29.9761904761905,11.1,0.6,2.02,1
12,1,1,1,0,1,0,0,14,0,16,29.9714285714286,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,0,12,0,14,29.9666666666667,7.6,2.6,0.32,1
14,1,1,1,0,1,0,1,12,0,12,29.9642857142857,11.1,0.6,2.02,1
10,1,1,1,0,1,0,0,12,0,12,29.9285714285714,16.2,0.3,-0.92,1
6,1,1,1,0,0,0,0,11,0,12,29.9285714285714,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,14,0,16,29.9257142857143,10.8,1.4,1.74,1
12,1,1,1,0,1,1,1,15,0,15,29.8984126984127,16.2,0.3,-0.92,1
15,1,1,1,0,1,0,1,12,0,12,29.8809523809524,13.9,-0.3,0.79,1
12,1,1,1,0,1,1,1,14,0,16,29.8714285714286,10.8,1.4,1.74,1
12,1,6,1,0,1,0,0,36,24,42,29.8666666666667,7.6,2.6,0.32,1
6,1,1,1,0,1,0,1,12,0,12,29.8571428571429,11.1,0.6,2.02,1
8,1,1,1,0,1,0,0,12,0,12,29.8333333333333,8.9,1.4,3.51,1
15,1,1,1,0,1,0,0,12,0,12,29.8333333333333,12.4,0.5,1.79,1
10,1,1,1,0,1,0,1,12,0,12,29.8333333333333,9.4,-0.8,-3.12,1
5,1,1,1,1,1,0,0,12,0,12,29.8095238095238,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,14,0,16,29.8028571428571,9.4,-0.8,-3.12,0
4,1,14,1,0,1,1,0,12,0,12,29.8,16.2,0.3,-0.92,1
9,1,1,1,0,1,0,0,10,0,10,29.8,7.6,2.6,0.32,1
7,1,1,1,0,1,1,0,10,0,10,29.8,8.9,1.4,3.51,0
10,1,1,1,0,1,0,1,12,0,12,29.7857142857143,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,0,16,0,16,29.7775,9.4,-0.8,-3.12,1
17,0,3,1,0,0,1,0,6,0,10,29.75,16.2,0.3,-0.92,0
12,1,1,1,0,1,1,1,15,0,15,29.7384126984127,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,15,0,15,29.7214285714286,13.9,-0.3,0.79,1
15,1,1,1,0,1,0,1,12,0,12,29.7142857142857,13.9,-0.3,0.79,1
17,0,15,1,0,1,1,0,12,3,12,29.7,8.9,1.4,3.51,0
12,1,6,1,0,1,0,0,12,0,14,29.7,7.6,2.6,0.32,1
12,1,1,1,0,1,0,0,15,0,15,29.6875,13.9,-0.3,0.79,1
15,1,1,1,0,1,0,1,12,0,12,29.6666666666667,8.9,1.4,3.51,1
14,1,1,1,0,1,1,1,12,0,12,29.6666666666667,12.7,3.7,-1.7,1
15,1,1,1,0,1,1,1,12,0,12,29.6666666666667,11.1,0.6,2.02,1
10,1,1,1,0,0,0,0,12,0,12,29.6666666666667,10.8,1.4,1.74,1
15,1,1,1,0,1,1,1,12,0,12,29.6666666666667,11.1,0.6,2.02,1
5,1,1,1,0,1,1,0,12,0,12,29.6666666666667,9.4,-0.8,-3.12,1
11,1,1,1,0,1,0,0,11,0,12,29.6666666666667,11.1,0.6,2.02,1
5,1,1,1,0,1,1,0,12,0,12,29.6666666666667,12.4,0.5,1.79,1
5,1,1,1,0,1,1,0,12,0,12,29.6666666666667,9.4,-0.8,-3.12,1
12,1,1,1,0,1,0,0,14,0,16,29.6571428571429,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,0,15,0,15,29.6553571428571,12.4,0.5,1.79,1
12,1,1,1,0,1,0,1,15,0,15,29.6385714285714,12.4,0.5,1.79,1
9,1,1,1,0,1,1,0,10,0,10,29.6333333333333,15.5,2.8,-4.06,1
12,1,3,1,0,1,0,0,14,0,16,29.6114285714286,10.8,1.4,1.74,1
4,1,1,1,0,1,1,0,12,0,12,29.6111111111111,13.9,-0.3,0.79,1
17,0,15,1,0,1,0,0,10,4,10,29.6,12.4,0.5,1.79,1
4,1,1,1,0,1,1,0,12,0,12,29.6,16.2,0.3,-0.92,1
14,1,1,1,0,1,1,1,12,0,12,29.5952380952381,8.9,1.4,3.51,1
4,1,1,1,0,1,0,1,31,24,31,29.5910931174089,15.5,2.8,-4.06,1
9,1,1,1,0,1,0,0,17,9,17,29.5909090909091,9.4,-0.8,-3.12,0
6,1,1,1,0,1,0,0,23,9,24,29.5824175824176,8.9,1.4,3.51,1
16,1,15,1,0,1,0,0,14,0,14,29.5714285714286,12.4,0.5,1.79,1
6,1,1,1,0,1,0,1,9,0,10,29.55,10.8,1.4,1.74,1
12,1,1,1,0,1,1,0,15,0,15,29.5467532467532,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,0,15,0,15,29.5396428571429,12.4,0.5,1.79,1
4,1,3,1,0,1,0,0,25,14,25,29.5384615384615,15.5,2.8,-4.06,1
12,1,1,1,0,1,0,1,15,0,15,29.5284126984127,12.4,0.5,1.79,1
15,1,1,1,0,1,0,0,12,0,12,29.5238095238095,13.9,-0.3,0.79,1
7,1,1,1,0,1,1,0,10,0,10,29.5142857142857,11.1,0.6,2.02,1
8,1,12,1,0,1,1,0,8,2,10,29.5,10.8,1.4,1.74,1
15,1,1,1,0,1,0,0,12,0,12,29.5,11.1,0.6,2.02,1
4,1,1,1,0,1,1,0,9,0,12,29.5,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,16,0,16,29.5,9.4,-0.8,-3.12,1
5,1,1,1,0,1,0,1,12,0,12,29.5,11.1,0.6,2.02,1
15,1,1,1,0,1,0,1,12,0,12,29.5,8.9,1.4,3.51,1
5,1,1,1,0,1,0,1,12,0,12,29.5,11.1,0.6,2.02,1
15,1,1,1,0,1,0,1,12,0,12,29.5,12.7,3.7,-1.7,1
11,1,1,1,0,1,0,1,11,0,12,29.5,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,14,0,16,29.4628571428571,10.8,1.4,1.74,1
15,1,1,1,0,1,0,0,12,0,12,29.452380952381,12.4,0.5,1.79,1
12,1,1,1,0,1,0,1,14,0,16,29.4514285714286,10.8,1.4,1.74,1
12,1,1,3,0,1,0,0,12,0,14,29.4333333333333,7.6,2.6,0.32,1
14,1,1,1,0,1,0,0,12,0,12,29.4285714285714,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,1,15,0,15,29.4246753246753,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,1,15,0,15,29.4084126984127,12.4,0.5,1.79,1
6,1,1,1,0,1,0,0,10,0,10,29.4,7.6,2.6,0.32,1
12,1,1,1,0,1,0,0,14,0,16,29.4,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,15,0,15,29.3757142857143,12.4,0.5,1.79,1
17,0,1,1,0,1,1,0,10,0,10,29.3666666666667,10.8,1.4,1.74,1
12,1,1,1,0,1,0,1,15,0,15,29.3642857142857,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,15,0,15,29.3388888888889,15.5,2.8,-4.06,1
12,1,1,1,0,1,0,0,15,0,15,29.3363492063492,11.1,0.6,2.02,1
6,1,1,9,0,1,0,0,11,0,12,29.3333333333333,11.1,0.6,2.02,1
4,1,1,1,0,1,0,1,12,0,12,29.3333333333333,12.4,0.5,1.79,1
7,1,12,1,0,0,1,0,4,0,10,29.3333333333333,16.2,0.3,-0.92,0
15,1,1,1,0,1,1,0,12,0,12,29.3333333333333,15.5,2.8,-4.06,1
4,1,14,1,0,1,0,1,12,0,12,29.3333333333333,15.5,2.8,-4.06,1
3,0,12,1,0,1,0,1,12,0,12,29.3333333333333,11.1,0.6,2.02,1
5,1,1,1,0,1,0,0,12,0,12,29.3333333333333,15.5,2.8,-4.06,1
5,1,1,1,0,1,1,0,12,0,12,29.3333333333333,12.7,3.7,-1.7,1
12,1,2,1,0,1,0,1,16,0,16,29325.0,9.4,-0.8,-3.12,1
12,1,1,1,0,1,0,0,15,0,15,29.3196428571429,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,15,0,15,29.3184722222222,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,15,0,15,29.3097222222222,13.9,-0.3,0.79,0
10,1,1,1,0,1,0,1,12,0,12,29.3095238095238,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,14,0,16,29.3085714285714,10.8,1.4,1.74,1
6,1,1,1,0,1,0,0,12,0,12,29.3076923076923,15.5,2.8,-4.06,1
12,1,1,1,0,1,0,0,14,0,16,29.3057142857143,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,12,0,14,29.3,7.6,2.6,0.32,1
12,1,1,1,0,1,0,0,15,5,15,29.2875,13.9,-0.3,0.79,1
5,1,1,1,0,1,0,0,22,15,24,29.2833333333333,15.5,2.8,-4.06,1
10,1,1,1,0,1,0,0,12,0,12,29.2380952380952,15.5,2.8,-4.06,1
15,1,1,1,1,1,0,1,12,0,12,29.2380952380952,8.9,1.4,3.51,1
17,0,3,1,0,1,0,0,20,10,20,29.2363636363636,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,1,15,0,15,29.2339285714286,13.9,-0.3,0.79,1
17,0,1,1,0,1,1,0,10,1,10,29.2333333333333,9.4,-0.8,-3.12,1
12,1,1,1,0,1,0,0,12,0,14,29.2333333333333,7.6,2.6,0.32,1
12,1,1,1,0,1,1,0,15,0,15,29.231746031746,16.2,0.3,-0.92,1
17,0,12,1,0,1,0,0,10,0,10,29.2,7.6,2.6,0.32,1
17,0,15,1,0,1,0,0,10,0,10,29.2,11.1,0.6,2.02,1
7,1,1,1,0,0,1,1,10,0,10,29.2,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,15,0,15,29.18375,15.5,2.8,-4.06,1
14,1,1,1,0,1,1,0,12,0,12,29.1666666666667,10.8,1.4,1.74,1
4,1,14,1,0,1,0,0,12,0,12,29.1666666666667,15.5,2.8,-4.06,1
15,1,1,1,0,1,0,1,12,0,12,29.1666666666667,16.2,0.3,-0.92,1
6,1,1,1,0,1,0,1,12,0,12,29.1666666666667,8.9,1.4,3.51,1
10,1,1,1,0,1,0,1,12,0,12,29.1666666666667,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,15,0,15,29.15,13.9,-0.3,0.79,1
8,1,1,1,0,1,1,0,12,0,12,29.1428571428571,11.1,0.6,2.02,1
10,1,1,1,0,1,0,1,12,0,12,29.1428571428571,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,12,0,14,29.1333333333333,7.6,2.6,0.32,1
12,1,1,1,0,1,0,1,14,0,16,29.1314285714286,10.8,1.4,1.74,1
8,1,14,1,0,1,1,0,9,0,10,29.1,10.8,1.4,1.74,1
12,1,1,1,0,1,0,1,15,0,15,29.0933333333333,11.1,0.6,2.02,1
5,1,1,1,0,1,1,0,22,10,24,29.0909090909091,16.2,0.3,-0.92,1
14,1,1,1,0,1,1,0,11,0,12,29.0833333333333,11.1,0.6,2.02,1
12,1,1,1,0,1,1,0,14,0,16,29.08,10.8,1.4,1.74,1
12,1,1,1,0,1,0,1,15,0,15,29.0746031746032,16.2,0.3,-0.92,1
12,1,1,1,0,1,0,0,14,0,16,29.0742857142857,10.8,1.4,1.74,1
12,1,1,1,0,1,0,0,15,0,15,29.0732142857143,13.9,-0.3,0.79,1
12,1,1,1,0,1,1,0,14,0,16,29.0714285714286,10.8,1.4,1.74,1
10,1,1,1,0,1,0,1,12,5,12,29.0714285714286,13.9,-0.3,0.79,1
14,1,1,1,0,1,0,0,11,0,12,29.0666666666667,13.9,-0.3,0.79,1
12,1,1,1,0,1,0,0,14,0,16,29.0285714285714,12.7,3.7,-1.7,1
5,1,1,1,0,1,0,0,12,0,12,29.0238095238095,9.4,-0.8,-3.12,1
12,1,1,1,0,1,0,0,13,0,15,29.02,12.4,0.5,1.79,1
12,1,1,1,0,1,0,1,16,0,16,29.0025,9.4,-0.8,-3.12,1
5,1,1,1,0,1,0,0,12,0,12,29.0,11.1,0.6,2.02,1
15,1,1,1,0,1,0,1,12,0,12,29.0,8.9,1.4,3.51,1
3,0,1,1,0,1,0,1,12,0,13,29.0,10.8,1.4,1.74,1
15,1,1,1,0,1,0,0,11,0,12,29.0,11.1,0.6,2.02,1
3,0,1,1,0,1,0,0,12,0,12,29.0,10.8,1.4,1.74,1
16,1,1,1,0,1,0,1,12,0,12,29.0,15.5,2.8,-4.06,1
6,1,1,1,0,1,0,0,10,0,10,29.0,10.8,1.4,1.74,1
9,1,1,1,0,1,1,1,8,0,10,29.0,12.7,3.7,-1.7,1
15,1,1,1,0,1,1,0,12,0,12,29.0,13.9,-0.3,0.79,1
6,1,1,1,0,1,1,0,12,0,12,29.0,11.1,0.6,2.02,1
8,1,1,1,0,1,0,0,9,0,12,29.0,8.9,1.4,3.51,0
15,1,1,1,0,1,0,0,12,0,12,29.0,15.5,2.8,-4.06,1
17,0,1,1,0,1,1,0,10,0,10,29.0,7.6,2.6,0.32,1
5,1,2,1,0,1,1,0,36,27,36,29.0,16.2,0.3,-0.92,1
4,1,1,1,0,1,1,0,24,12,24,29.0,15.5,2.8,-4.06,1
7,1,14,1,0,1,1,0,11,4,13,28.969696969697,12.4,0.5,1.79,1
12,1,1,1,0,1,0,0,15,0,15,28.9512698412698,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,15,0,15,28.95,13.9,-0.3,0.79,1
17,0,1,1,0,1,0,0,12,5,12,28.9428571428571,7.6,2.6,0.32,1
12,1,1,1,0,1,0,0,15,0,15,28.9396825396825,16.2,0.3,-0.92,1
12,1,3,1,0,1,0,0,12,5,15,28.9333333333333,16.2,0.3,-0.92,0
17,0,1,1,0,1,1,0,10,0,10,28.9333333333333,13.9,-0.3,0.79,1
6,1,1,1,0,1,0,1,12,0,12,28.9285714285714,13.9,-0.3,0.79,1
2,1,1,1,0,1,1,1,23,10,23,28.9166666666667,8.9,1.4,3.51,1
11,1,1,1,0,1,0,0,12,0,12,28.8809523809524,12.7,3.7,-1.7,1
6,1,16,1,0,1,0,0,18,11,21,28.8701298701299,8.9,1.4,3.51,1
12,1,1,1,0,1,0,1,15,0,15,28.8680555555556,13.9,-0.3,0.79,1
4,1,9,1,0,1,0,0,31,23,31,28.8623481781377,15.5,2.8,-4.06,1
10,1,1,1,0,1,0,0,12,0,12,28.8571428571429,13.9,-0.3,0.79,1
6,1,1,1,0,1,0,0,12,0,12,28.8571428571429,11.1,0.6,2.02,1
12,1,1,1,0,1,0,1,14,0,16,28.8571428571429,12.7,3.7,-1.7,1
12,1,1,1,0,1,0,1,14,0,16,28.8571428571429,12.7,3.7,-1.7,1
15,1,1,1,0,1,0,0,12,0,12,28.8571428571429,13.9,-0.3,0.79,1
12,1,15,1,0,1,0,0,15,2,15,28.8349206349206,16.2,0.3,-0.92,1
11,1,1,1,0,1,0,1,12,0,12,28.8333333333333,11.1,0.6,2.02,1
6,1,1,1,0,1,0,1,9,0,12,28.8333333333333,8.9,1.4,3.51,0
3,0,14,1,0,1,0,1,12,5,12,28.8333333333333,13.9,-0.3,0.79,1
12,1,3,1,0,1,0,0,14,0,16,28.8285714285714,12.7,3.7,-1.7,1
6,1,1,1,0,1,0,1,9,0,10,28.8214285714286,10.8,1.4,1.74,1
